dataset,seed,n_samples,synthetic_data_path,metrics_path,line_count,train_size,task_type,accuracy,f1,precision,recall,auc_roc,mae,mse,rmse,r2
compas,45,500,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n500/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n500/metrics.json,501,600,classification,0.6647727272727273,0.6118421052631579,0.672289156626506,0.5613682092555332,0.6883087433365848,,,,
compas,46,100,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n100/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n100/metrics.json,101,200,classification,0.6590909090909091,0.6288659793814433,0.6448202959830867,0.613682092555332,0.6914978241542277,,,,
compas,46,1000,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n1000/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n1000/metrics.json,1001,1100,classification,0.6524621212121212,0.6258919469928644,0.6342975206611571,0.6177062374245473,0.7062878163434991,,,,
compas,46,200,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n200/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n200/metrics.json,201,300,classification,0.646780303030303,0.6310583580613254,0.6206225680933852,0.641851106639839,0.689827696051083,,,,
compas,46,500,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n500/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n500/metrics.json,501,600,classification,0.6420454545454546,0.6264822134387352,0.6155339805825243,0.6378269617706237,0.6920071412374065,,,,
obesity_reg,42,100,results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/synthetic_data.csv,results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/metrics.json,101,200,regression,,,,,,12.674400668134973,295.5530261734795,17.191655713557072,0.5808418045708452
obesity_reg,42,1000,results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/synthetic_data.csv,results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/metrics.json,1001,1100,regression,,,,,,14.509452410447718,369.3711559604871,19.219031087973377,0.4761517106405748
obesity_reg,42,200,results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/synthetic_data.csv,results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/metrics.json,201,300,regression,,,,,,13.337082443626601,318.9518302102225,17.859222553353842,0.5476572332530583
obesity_reg,42,500,results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/synthetic_data.csv,results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/metrics.json,501,600,regression,,,,,,13.922298482863408,347.6900177069518,18.646447857620277,0.5069002599038386
obesity_reg,43,100,results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/synthetic_data.csv,results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/metrics.json,101,200,regression,,,,,,10.497957840609649,214.66985420069182,14.651616095185261,0.6905514603870391
obesity_reg,43,1000,results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/synthetic_data.csv,results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/metrics.json,1001,1100,regression,,,,,,11.507013116167652,241.40293997308152,15.537147098907235,0.6520154750600999
obesity_reg,43,200,results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/synthetic_data.csv,results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/metrics.json,201,300,regression,,,,,,10.571912834794135,214.9366439812435,14.660717717125703,0.6901668805014152
